Calculating heatmap for κ = 0.3 MHz
Progress: 94/231 (input power: 2 dB, target frequency: -2.0 MHz)
Progress: 95/231 (input power: 2 dB, target frequency: 0.0 MHz)
Progress: 96/231 (input power: 2 dB, target frequency: 2.0 MHz)
Progress: 97/231 (input power: 2 dB, target frequency: 4.0 MHz)
Progress: 98/231 (input power: 2 dB, target frequency: 6.0 MHz)
Progress: 99/231 (input power: 2 dB, target frequency: 8.0 MHz)
Progress: 100/231 (input power: 2 dB, target frequency: 10.0 MHz)
Progress: 101/231 (input power: 2 dB, target frequency: 12.0 MHz)
Progress: 102/231 (input power: 2 dB, target frequency: 14.0 MHz)
Progress: 103/231 (input power: 2 dB, target frequency: 16.0 MHz)
Progress: 104/231 (input power: 2 dB, target frequency: 18.0 MHz)
Progress: 105/231 (input power: 2 dB, target frequency: 20.0 MHz)
Progress: 106/231 (input power: 0 dB, target frequency: -20.0 MHz)
Progress: 107/231 (input power: 0 dB, target frequency: -18.0 MHz)
Progress: 108/231 (input power: 0 dB, target frequency: -16.0 MHz)
Progress: 109/231 (input power: 0 dB, target frequency: -14.0 MHz)
Progress: 110/231 (input power: 0 dB, target frequency: -12.0 MHz)
Progress: 111/231 (input power: 0 dB, target frequency: -10.0 MHz)
Progress: 112/231 (input power: 0 dB, target frequency: -8.0 MHz)
Progress: 113/231 (input power: 0 dB, target frequency: -6.0 MHz)
Progress: 114/231 (input power: 0 dB, target frequency: -4.0 MHz)
Progress: 115/231 (input power: 0 dB, target frequency: -2.0 MHz)
Progress: 116/231 (input power: 0 dB, target frequency: 0.0 MHz)
Progress: 117/231 (input power: 0 dB, target frequency: 2.0 MHz)
Progress: 118/231 (input power: 0 dB, target frequency: 4.0 MHz)
Progress: 119/231 (input power: 0 dB, target frequency: 6.0 MHz)
Progress: 120/231 (input power: 0 dB, target frequency: 8.0 MHz)
Progress: 121/231 (input power: 0 dB, target frequency: 10.0 MHz)
Progress: 122/231 (input power: 0 dB, target frequency: 12.0 MHz)
Progress: 123/231 (input power: 0 dB, target frequency: 14.0 MHz)
Progress: 124/231 (input power: 0 dB, target frequency: 16.0 MHz)
